id,d1,end_state1,hispanic,race,raceot,racethn,nativity,racethn2,end_racethn2,q1,q2,q3,q4,aca,q5,q6a,q6b,end_q6,q7,q8,end_q8,q9,q10,vacc1,q11,vaches,q12,vacc2,q13,q14a,q14b,q14c,q15,q16a,q16b,q17,q18a,q18b,q18c,q19a,q19b,q20,q21a,q21b,spvacinfo,q22,q23,q24,q27,q28a,q28b,q28c,q28d,q28e,q28f,q28g,q29,q30a,q30b,q30c,q30d,q30e,q30f,q30g,q30h,q30i,q30r1_01,q30r1_02,q30r1_03,q30r1_04,q30r1_05,q30r1_06,q30r1_07,q30r1_08,q30r1_09,q30r2_01,q30r2_02,q30r2_03,q30r2_04,q30r2_05,q30r2_06,q30r2_07,q30r2_08,q30r2_09,q31,end_q31,q33,q33a,q34,q34a,end_q34a,q35a,q35b,q35d,q35e,q35g,inclosstotal,end_inclosstotal,age,age2,recage,recage2,recage3,recage4,recage5,child,marital,employ,recemploy,essential,heal1a,delayedcare,coverage,agecov,covtype,covtypeot,agecovtype,rsex,gendervar,flu,test1,chroniccovid,party,partylean,party3,party5,ideology,educ,receduc,receduc2,receduc3,income,recincome,cell,hhcell,landline,curlangx,hhadults,int,length,cstate,cregion,density,intvwdate,userid,sample,userdata,bssrs_match_code,sstate,sregion,sdivision,stz,exchangstat,stateexpmedi,gvnrexpmedi,wt1,weight,standwt,weight_ssrs,vacccombo,recage6,vaches_rec,essentialnonhc,healthworker,knowvacc,clsknowvacc,lang,Division,changesex,iphoneuse,hphoneuse,cdc2013,cdc2013USR,SAMPLE_TYPE,dialtype,qctr,xctr,state1,state,USR,USR_NEW
00000003,Male,972,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC",20,Some,Approve,Not enough,Not enough,Don't know,Build on what the law does,Favor,Favor,162,Not too often,No,67,Generally correct,Somewhat worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, someone else",No difference,Do not have enough information,Do not have enough information,Do not have enough information, ,No,No, , , , ,No,No, , , , ,Yes,No,No,Not at all worried,Not at all concerned,Not too concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not too concerned,Not at all concerned,Would make no difference,Very likely,Not too likely,Not at all likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,A local pharmacy,NOT Your workplace,NOT A grocery store,A local church or religious center,A local school,A community health clinic,A hospital,Your own doctor's office,A large vaccination site run by the government, , , , , , , , , ,A hospital,589,Not at all confident,Very confident, , ,41,No,Yes,Yes,Yes,Yes,No,93,70, ,65+,65+,65+,70-74,65+,No,Widowed,On disability and can't work,ON DISABILITY AND CAN'T WORK, ,No,No,Not covered by health insurance, , , , ,Male,MALE,No,No,"Yes, both respondent and someone else in household",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,High school incomplete (Grades 9-11 or Grade 12 with no diploma),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,Don't Know,DK/RF, , ,"No, no home telephone",English,2,Yes,1358,South Carolina,South,2,210216, ,Cell phone,KFF prescreened,17004112,North Carolina,South,South Atlantic, ,Federal,No/Maybe,No/Maybe,.6486,4.4674,.195,.3653, ,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,No one close vaccinated,English,South Atlantic,sex = rsex,CPO,CPO HH,Large fringe metro,"Suburban (CDC=2,3)",CELL KFF PS,Manual,83,2,SOUTH CAROLINA,1,Suburban,Urban
00000005,Female,772,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC",19,Refused,Approve,About the right amount,Not enough,Very favorable,Build on what the law does,Favor,Favor,281,Somewhat often,No,32,Generally underestimated,Somewhat worried,"Yes, both doses",Completed process on their own, ,Getting vaccinated is part of everyone's responsibility to protect the health of others, , ,Have enough information, , ,Strictly follow social distancing guidelines, , , ,Very easy,Very easy,Very easy,Yes,Yes,"Gotten an appointment, but have not gotten their first dose",Very easy,Very easy, , ,No,Yes,Not at all worried, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,287,Very confident,Somewhat confident, , ,74,No,No,No,No,No,No,79,85, ,65+,65+,65+,75+,65+,No,Widowed,Retired,RETIRED, ,No,No,Covered by health insurance, ,Plan through your employer, , ,Female,FEMALE,Yes,No,"Yes, respondent",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,"Some postgraduate or professional school, no postgraduate degree",COLLEGE +,COLLEGE +,COLLEGE +,"$90,000 to less than $100,000",$90K+,"Yes, have cell phone", , ,English,1,Yes,1350,Louisiana,South,Highest,210215, ,landline,KFF prescreened,17002458,Louisiana,South,West South Central,C,Federal,Yes,Yes - Democratic/Independent,.4115,1.1198,.0489,.0916, ,65+,Got vaccine/ASAP,No,No,Personally vaccinated,Personally vaccinated,English,West South Central,sex = rsex,Dual,Dual HH,Large central metro,Urban (CDC=1),LL KFF PS,Automatic,66,1,LOUISIANA,1,Urban,Urban
00000012,Female,938,Yes,Other or mixed race,hispanic,HISPANIC,Another country,HISPANIC - BORN OUTSIDE OF US,46,Some,Approve,About the right amount,Not enough,Very favorable,Keep the law as it is,Favor,Favor,149,Never,No,34,Generally correct,Not too worried,No, ,"Only get the vaccine if you are required to do so for work, school, or other activities",Getting vaccinated is a personal choice,"Yes, someone in household",No difference,Have enough information,Have enough information,Don't know, ,Yes,No, ,Very easy, , ,No,No, , , , ,No,No,Yes,Somewhat worried,Somewhat concerned,Not too concerned,Somewhat concerned,Not too concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Would make no difference,Somewhat likely,Very likely,Not too likely,Not too likely,Not too likely,Very likely,Very likely,Very likely,Very likely,NOT A local pharmacy,Your workplace,NOT A grocery store,NOT A local church or religious center,NOT A local school,A community health clinic,A hospital,Your own doctor's office,A large vaccination site run by the government,A local pharmacy,NOT Your workplace,A grocery store,NOT A local church or religious center,NOT A local school,NOT A community health clinic,NOT A hospital,NOT Your own doctor's office,NOT A large vaccination site run by the government,Your own doctor's office,583, , ,Somewhat confident,Somewhat confident,37,No,Yes,Yes,No,No,Yes,89,55, ,18-64,50-64,55-64,40-59,45-64,Yes,Married,Employed part-time,EMPLOYED,No,No,"Yes, me",Covered by health insurance,INSURED LESS THAN 65,Medicare, ,Medicare,Female,FEMALE,No,"Yes, respondent tested positive","Yes, respondent",Independent,Democratic,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,INDEPENDENT/LEAN DEM,Conservative,Less than high school (Grades 1-8 or no formal schooling),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K,"Yes, have cell phone", , ,English,5,Yes,1325,Washington,West,Lowest,210216, ,landline,KFF prescreened,17002578,Washington,West,Pacific,P,State,Yes,Yes - Democratic/Independent,1.8701,20.332,.8873,1.6628,Only know someone who has gotten vaccine,40-64,Only if required,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,Pacific,sex = rsex,Dual,Dual HH,Micropolitan,Rural (CDC=4-6),LL KFF PS,Automatic,94,2,WASHINGTON,1,Rural,Rural
00000019,Female,1049,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",19,Some,Disapprove,About the right amount,Not enough,Very unfavorable,Scale back what the law does,Oppose,Oppose,185,Somewhat often,No,35,Generally correct,Very worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, another family member or close friend",More likely,Have enough information,Have enough information,Have enough information, ,Yes,Yes,Yes,Very difficult,Very difficult, ,Yes,Yes,"Gotten an appointment, but have not gotten their first dose",Very difficult,Very difficult, ,Yes,No,No,Somewhat worried,Not at all concerned,Somewhat concerned,Not applicable (Vol.),Not too concerned,Somewhat concerned,Not too concerned,Not too concerned,Would make no difference,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,NOT A local school,NOT A community health clinic,A hospital,Your own doctor's office,NOT A large vaccination site run by the government,NOT A local pharmacy,Your workplace,A grocery store,A local church or religious center,A local school,A community health clinic,NOT A hospital,NOT Your own doctor's office,A large vaccination site run by the government,A hospital,698, , , , ,0,No,No,No,No,No,Yes,112,65, ,65+,65+,65+,60-69,65+,No,Married,Employed part-time,EMPLOYED,No,No,No,Covered by health insurance, ,Medicare, , ,Female,FEMALE,No,"Yes, someone else tested positive","Yes, respondent",Independent,Independent/don't lean to either party (VOL.),PURE INDEPENDENTS,INDEPENDENT/DON'T LEAN,Conservative,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$50,000 to less than $75,000",$40K-$89K, , ,"Yes, has a home telephone",English,2,Yes,1480,Missouri,North Central,4,210217, ,Cell phone,KFF prescreened,17001133,Missouri,North Central,West North Central, ,Federal,No/Maybe,No/Maybe,1.0865,11.646,.5082,.9524,Do knot know someone who has gotten vaccine,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,West North Central,sex = rsex,Dual,Dual HH,Large fringe metro,"Suburban (CDC=2,3)",CELL KFF PS,Manual,94,0,MISSOURI,1,Suburban,Suburban
00000023,Female,1595,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",26,A lot,Approve,About the right amount,Not enough,Very favorable,Build on what the law does,Favor,Favor,348,Never,No,41,Generally underestimated,Not at all worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, another family member or close friend",More likely,Have enough information,Have enough information,Have enough information, ,Yes,Yes,Yes,Very easy,Very easy, ,Yes,No,Gotten at least one dose of the vaccine,Somewhat easy, , ,Yes,Yes,Yes,Not at all worried,Not at all concerned,Not at all concerned,Not applicable (Vol.),Not at all concerned,Not at all concerned,Not at all concerned,Not applicable (Vol.),Would make no difference,Very likely,Not applicable,Not at all likely,Not at all likely,Very likely,Very likely,Very likely,Very likely,Very likely,A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,A local school,A community health clinic,A hospital,Your own doctor's office,A large vaccination site run by the government, , , , , , , , , ,A hospital,1081, , , , ,0,No,No,No,No,No,No,99,89, ,65+,65+,65+,75+,65+,No,Widowed,"Or, a homemaker or stay at home parent?",A HOMEMAKER OR STAY AT HOME PARENT, ,No,"Yes, me",Covered by health insurance, ,Medicare, , ,Female,FEMALE,Yes,"Yes, someone else tested positive","Yes, respondent",Independent,Democratic,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,INDEPENDENT/LEAN DEM,Don't Know,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K,"No, do not",No, ,English,1,Yes,2364,Montana,West,Lowest,210216, ,landline,KFF prescreened,17001782,Montana,West,Mountain,M,Federal,Yes,Yes - Democratic/Independent,.7307,7.1799,.3133,.5872,Do knot know someone who has gotten vaccine,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,Mountain,sex = rsex,LLO,LLO HH,Non-core,Rural (CDC=4-6),LL KFF PS,Automatic,94,2,MONTANA,1,Rural,Rural
00000026,Female,555,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",20,Not too much,Disapprove,Not enough,Not enough,Somewhat unfavorable,Repeal the entire law,Favor,Oppose,127,Somewhat often,No,34,Generally correct,Somewhat worried,"Yes, single dose",Completed process on their own, ,Getting vaccinated is a personal choice, , ,Do not have enough information, , ,Strictly follow social distancing guidelines, , , ,Somewhat easy,Somewhat easy,Very easy,Yes,No,Gotten at least one dose of the vaccine,Very easy, , , ,Yes,Yes,Somewhat worried, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,294, , , , ,0,No,No,No,No,No,No,80,77, ,65+,65+,65+,75+,65+,No,Married,Retired,RETIRED, ,No,"Yes, me",Covered by health insurance, ,Medicare, , ,Female,FEMALE,Yes,"Yes, someone else tested positive","Yes, respondent",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$40,000 to less than $50,000",$40K-$89K,"Yes, have cell phone", , ,English,2,Yes,927,Missouri,North Central,Lowest,210215, ,landline,KFF prescreened,17002003,Missouri,North Central,West North Central,C,Federal,No/Maybe,No/Maybe,.8876,9.5547,.417,.7814,Respondent has gotten vaccine,65+,Got vaccine/ASAP,No,No,Personally vaccinated,Personally vaccinated,English,West North Central,sex = rsex,Dual,Dual HH,Non-core,Rural (CDC=4-6),LL KFF PS,Automatic,65,0,MISSOURI,1,Rural,Rural
00000030,Female,663,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",18,Not at all,Disapprove,Not enough,Not enough,Very unfavorable,Repeal the entire law,Favor,Favor,154,Somewhat often,Yes,37,Generally exaggerated,Not too worried,No, ,Definitely not get the vaccine,Getting vaccinated is a personal choice,"Yes, another family member or close friend",Don't know,Do not have enough information,Have enough information,Have enough information, ,No,No, , , , ,No,No, , , , ,No,No,Yes,Not at all worried,Not at all concerned,Very concerned,Not at all concerned,Somewhat concerned,Not at all concerned,Not at all concerned,Not at all concerned,Would make no difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,388, , , , ,0,No,No,No,No,No,No,66,53, ,18-64,50-64,45-54,40-59,45-64,No,Married,"Or, a homemaker or stay at home parent?",A HOMEMAKER OR STAY AT HOME PARENT, ,No,No,Covered by health insurance,INSURED LESS THAN 65,Plan you purchased yourself, ,Self-purchased plan,Female,FEMALE,No,No,No one in household has serious health condition,Independent,Republican,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,INDEPENDENT LEAN REP,Conservative,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K,"Yes, have cell phone", , ,English,2,Yes,965,Kentucky,South,Lowest,210215, ,landline,KFF prescreened,17002388,Kentucky,South,East South Central,E,Partnership,Yes,Yes - Democratic/Independent,1.9402,56.27,2.4556,4.6018,Do knot know someone who has gotten vaccine,40-64,Definitely not,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,East South Central,sex = rsex,Dual,Dual HH,Large fringe metro,"Suburban (CDC=2,3)",LL KFF PS,Automatic,72,1,KENTUCKY,1,Rural,Suburban
00000033,Male,836,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",17,A lot,Approve,About the right amount,Not enough,Very favorable,Keep the law as it is,Favor,Favor,183,Not too often,No,53,Generally underestimated,Very worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, someone in household",More likely,Have enough information,Have enough information,Do not have enough information, ,Yes,Yes,No,Somewhat difficult,Somewhat difficult, ,Yes,No,Have not gotten the vaccine and do not have an appointment scheduled,Somewhat easy, , ,No,No,Yes,Not at all worried,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not too concerned,Not at all concerned,Not at all concerned,Would make no difference,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,Somewhat likely,NOT A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,NOT A local school,A community health clinic,A hospital,NOT Your own doctor's office,NOT A large vaccination site run by the government,A local pharmacy,Your workplace,A grocery store,A local church or religious center,A local school,NOT A community health clinic,NOT A hospital,Your own doctor's office,A large vaccination site run by the government,A hospital,537, , , , ,0,No,No,No,No,No,Yes,46,37, ,18-64,30-49,35-44,18-39,30-44,No,Living with a partner,Employed full-time,EMPLOYED,No,"Yes, someone else in household",No,Covered by health insurance,INSURED LESS THAN 65,Plan through your employer, ,Employer,Male,MALE,No,"Yes, someone else tested positive",No one in household has serious health condition,Independent,Independent/don't lean to either party (VOL.),PURE INDEPENDENTS,INDEPENDENT/DON'T LEAN,Moderate,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$100,000 or more",$90K+, , ,"No, no home telephone",English,2,Yes,1240,New Jersey,Northeast,3,210216, ,Cell phone,KFF prescreened,17003434,New Jersey,Northeast,Mid Atlantic, ,State,Yes,Yes - Democratic/Independent,1.2331,24.626,1.0747,2.0139,Only know someone who has gotten vaccine,18-39,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,Mid Atlantic,sex = rsex,CPO,CPO HH,Large fringe metro,"Suburban (CDC=2,3)",CELL KFF PS,Manual,99,1,NEW JERSEY,1,Suburban,Suburban
00000047,Female,946,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC",23,Refused,Approve,Not enough,Not enough,Very favorable,Build on what the law does,Favor,Favor,164,Somewhat often,No,39,Generally correct,Somewhat worried,No, ,Don't know,Getting vaccinated is a personal choice,"Yes, another family member or close friend",No difference,Do not have enough information,Do not have enough information,Do not have enough information, ,No,No, , , , ,No,No, , , , ,No,No,Yes,Very worried,Not too concerned,Very concerned,Not too concerned,Somewhat concerned,Not too concerned,Somewhat concerned,Not too concerned,Would make no difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,567,Not too confident,Not at all confident, , ,58,No,No,No,No,No,Yes,95,38, ,18-64,30-49,35-44,18-39,30-44,No,Never been married,Employed full-time,EMPLOYED,Yes,"Yes, respondent","Yes, me",Covered by health insurance,INSURED LESS THAN 65,Plan through your employer, ,Employer,Female,FEMALE,No,"Yes, someone else tested positive","Yes, both respondent and someone else in household",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Liberal,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K, , ,"No, no home telephone",English,4,Yes,1450,New Jersey,Northeast,4,210217, ,Cell phone,KFF prescreened,17005843,New Jersey,Northeast,Mid Atlantic, ,State,Yes,Yes - Democratic/Independent,.9188,4.6844,.2044,.3831,Do knot know someone who has gotten vaccine,18-39,DK/RF,No,Yes,Know someone vaccinated,Know close family or friend vaccinated,English,Mid Atlantic,sex = rsex,CPO,CPO HH,Large fringe metro,"Suburban (CDC=2,3)",CELL KFF PS,Manual,76,2,NEW JERSEY,1,Suburban,Suburban
00000052,Female,725,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",18,Not too much,Disapprove,Not enough,Not enough,Somewhat favorable,Build on what the law does,Favor,Favor,145,Not too often,No,33,Generally correct,Not too worried,No, ,"Only get the vaccine if you are required to do so for work, school, or other activities",Getting vaccinated is a personal choice,"Yes, someone in household",No difference,Have enough information,Have enough information,Have enough information, ,No,No, , , , ,No,No, , , , ,No,No,Yes,Not too worried,Not at all concerned,Not at all concerned,Not too concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not too concerned,More likely,Not too likely,Not too likely,Not too likely,Not too likely,Not too likely,Not too likely,Not too likely,Not too likely,Not too likely, , , , , , , , , , , , , , , , , , , ,474, , , , ,0,No,No,No,No,No,No,55,63, ,18-64,50-64,55-64,60-69,45-64,No,Married,Employed part-time,EMPLOYED,No,"Yes, someone else in household",No,Covered by health insurance,INSURED LESS THAN 65,Plan through your spouse's employer, ,Spouse's employer,Female,FEMALE,Yes,No,"Yes, someone else in household",Independent,Independent/don't lean to either party (VOL.),PURE INDEPENDENTS,INDEPENDENT/DON'T LEAN,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$75,000 to less than $90,000",$40K-$89K, , ,"No, no home telephone",English,2,Yes,1116,Missouri,North Central,4,210217, ,Cell phone,KFF prescreened,17005233,Missouri,North Central,West North Central, ,Federal,No/Maybe,No/Maybe,1.1305,13.133,.5731,1.0741,Only know someone who has gotten vaccine,40-64,Only if required,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,West North Central,sex = rsex,CPO,CPO HH,Large central metro,Urban (CDC=1),CELL KFF PS,Manual,85,0,MISSOURI,1,Suburban,Suburban
